timestamp,cpu_cores_busy,rss_mb,network_recv_mb_s,network_send_mb_s,disk_read_mb_s,disk_write_mb_s,num_fds,active_read_tasks,active_rechunk_tasks,active_compute_tasks,active_store_tasks,active_other_tasks,sources_started,sources_finished
1788468878.5315037,2.1000180245991955,3831.37890625,6.369224856399257,0.205844738581321,0.0,0.0,96.0,1,0,1,0,14,356,356
1788468879.5320704,1.669054112047188,3831.37890625,6.912596883108342,0.18583733192968444,0.0,0.0039040375001102062,97.0,0,0,0,0,16,357,356
1788468880.5318983,1.8003099021315818,3831.37890625,5.396559790651525,0.16238146768085135,0.0,0.0,95.0,0,0,2,0,14,357,357
1788468881.5324879,1.9988214765759533,3851.37890625,7.514088072823502,0.1810036606662684,0.0,0.0,97.0,2,0,2,0,12,358,357
1788468882.5320718,2.080865724250916,3856.3828125,7.71939810507139,0.2075391187100766,0.0,0.027355130840138447,98.0,1,0,1,0,14,359,358
1788468883.531688,2.090802562743586,3932.265625,4.08002968974125,0.1255736764953512,0.0,0.10550925013845514,98.0,0,1,0,0,15,360,359
1788468884.532272,1.0194045397945357,3932.265625,0.00043271537955286393,0.0033130366945501215,0.0,0.003903969591736852,98.0,0,1,0,0,15,360,359
1788468885.5318716,2.0208094214983086,3915.2578125,6.371303508256404,0.19554531958983204,0.0,0.7893786802727838,97.0,0,0,1,0,15,360,360
1788468886.5315032,2.0607590944291743,3917.2578125,8.037285233899683,0.20109431522298324,0.0,0.0,97.0,0,0,0,0,16,361,361
1788468887.5320702,1.8089743850021924,3919.2578125,10.708391057506859,0.20575397421105532,0.0,0.0,98.0,0,0,1,0,15,362,361
1788468888.531517,2.311278439993991,3919.2578125,9.61221798556483,0.19487669800266413,0.0,0.0,97.0,1,1,1,0,13,363,362
1788468889.5315049,2.1200257781301084,3921.2578125,7.1041045926414075,0.1914963165073733,0.0,0.0,97.0,1,0,2,0,13,364,363
1788468890.5320792,2.2287199339101997,3921.2578125,9.742670513804494,0.21895516800886788,0.0,0.007808015463530625,96.0,1,0,1,0,14,364,363
1788468891.5316987,2.510955458858789,3922.25390625,11.220582020021428,0.24110145519315918,0.0,0.0,97.0,0,2,1,0,13,365,364
1788468892.5323043,1.878862192638196,3922.25390625,4.0986893961271855,0.13704393110632657,0.0,0.05855828808504676,97.0,0,1,0,0,15,366,365
1788468893.5315108,2.0015881742102666,3940.25390625,5.867251924134139,0.23069852941176472,0.0,0.0,97.0,1,0,1,0,14,367,366
1788468894.5321035,1.758957450813589,3940.25390625,4.212535771387179,0.1375880136961821,0.0,0.0,96.0,1,0,1,0,14,367,367
1788468895.5317316,1.9207143770285773,3940.25390625,3.5061382235595593,0.1355580021103125,0.0,6.459433726456946,97.0,1,0,0,0,15,368,367
1788468896.5323296,1.6090378696971845,3940.25390625,6.694550053707433,0.1779941536575858,0.0,0.0,98.0,1,0,0,0,15,369,368
1788468897.5315137,1.9515922423967533,3940.25390625,7.4278359543408765,0.18792321043637114,0.0,0.0,97.0,0,0,2,0,14,370,369
1788468898.5315137,2.240000000000009,3964.25,5.893917083740234,0.1945323944091797,0.0,0.0,97.0,1,0,0,0,15,370,370
1788468899.5321012,2.268667241076925,3964.25,6.457854234496641,0.19168083630069616,0.0,0.0,98.0,0,1,2,0,13,371,370
1788468900.53175,2.010706141029763,3964.25,5.552386919482326,0.1844815591184095,0.0,0.0039076223200982824,94.0,0,0,1,0,15,372,371
1788468901.5323718,1.8588441787677545,3964.25,5.585128303857694,0.18224542234862204,0.0,0.0,94.0,1,0,2,0,13,373,372
1788468902.5319848,1.700658075346107,3964.25,4.97697773811077,0.15787702427158185,0.0,0.0,93.0,2,0,0,0,14,373,373
1788468903.5315745,1.880771715193117,3964.25,5.828368812257265,0.16084976731528033,0.0,0.0,96.0,0,0,1,0,15,374,373
1788468904.5321515,2.0388236538785605,3964.25,5.549626804145329,0.2063199772012646,0.0,0.0,97.0,0,1,0,0,15,375,374
1788468905.5315046,2.351521033421575,3964.25,9.105161262155587,0.22402376567751958,0.0,0.0039087783135329755,97.0,2,0,1,0,13,376,375
1788468906.5320656,2.268727246472591,4000.2578125,8.020844210046235,0.20096376711272806,0.0,0.0,94.0,0,0,2,0,14,376,376
1788468907.5316663,1.7106831632370045,4016.2578125,6.269539231828048,0.1742601122112164,0.0,0.0,93.0,1,0,1,0,14,377,377
1788468908.5324004,2.2783275007307853,4052.26171875,8.155204326124158,0.2196177951833321,0.0,0.0,95.0,1,0,1,0,14,378,377
1788468909.5315077,1.5213580237485977,4062.265625,5.067893551219885,0.15378756061242413,0.0,0.0,94.0,1,0,1,0,14,379,378
1788468910.53209,1.9288769727787245,4112.265625,7.673566139099197,0.18243848924857498,0.0,0.0039039770336351067,95.0,0,0,2,0,14,379,379
1788468911.5315158,2.0111546278819805,4173.26953125,6.233929467715802,0.2140806928416163,0.0,0.0,95.0,1,1,0,0,14,380,379
1788468912.531506,1.8700182797310378,4173.26953125,7.017814571952212,0.17529945070206612,0.0,6.19146677258913,96.0,1,0,0,0,15,381,380
1788468913.5315087,2.229994151607611,4173.26953125,9.022384823266732,0.22584855929990952,0.0,0.027343678288349826,96.0,1,0,0,0,15,382,381
1788468914.532085,1.6390554816485219,4173.26953125,6.921361701194813,0.16051865253849373,0.0,0.0039040002897500216,96.0,0,0,1,0,15,382,382
1788468915.5317025,2.6210023326258725,4173.26953125,8.870586495575644,0.20677558613781097,0.0,0.0,96.0,1,1,2,0,12,383,383
1788468916.5315082,1.7003303931402316,4215.2734375,5.6734141904271125,0.18053892593971274,0.0,0.003907009175414553,94.0,0,0,3,0,13,384,383
1788468917.5315037,2.0700093770453574,4195.26953125,4.2344971788993835,0.1819218293463606,0.0,0.0,95.0,1,0,0,0,15,385,384
1788468918.5315099,1.9699877882761048,4195.26953125,5.159118142826149,0.18478183643156357,0.0,0.0,95.0,0,0,0,0,16,386,385
1788468919.5316446,1.8897454390114254,4195.26953125,5.118335757326391,0.22001163802731385,0.0,0.0,97.0,1,0,2,0,13,386,386
1788468920.5315082,2.0002727880560798,4195.26953125,7.43359947655215,0.19239379149645233,0.0,0.0,97.0,0,2,0,0,14,387,386
1788468921.5313427,2.1703591130313384,4195.26953125,6.6401529946752325,0.2184227908651496,0.0,0.003906896444829157,98.0,0,0,1,0,15,388,387
1788468922.5315034,2.309628856218023,4195.26953125,6.878954788320701,0.2067176514394116,0.0,0.0,98.0,0,2,1,0,13,389,388
1788468923.5315053,2.169995861061434,4217.26953125,5.0444773779346885,0.18810999277116247,0.0,0.023437455296601684,96.0,0,0,3,0,13,390,389
1788468924.5315032,2.2200047636134594,4217.26953125,10.076957390932206,0.19654411528039872,0.0,0.0,95.0,2,0,0,0,14,390,390
1788468925.5320187,2.1588871779252803,4217.26953125,6.93792348132929,0.1799666671909173,0.0,0.015616950071798509,95.0,0,0,2,0,14,391,391
1788468926.5316803,2.460832538932288,4217.26953125,9.254872480404304,0.24290196368371658,0.0,5.7949292670798265,95.0,1,0,0,0,15,392,392
1788468927.531827,2.18967893301379,4217.26953125,8.132842612694072,0.22688018529082446,0.0,0.0,97.0,1,0,1,0,14,393,392
1788468928.5324154,2.0487944544046623,4217.26953125,7.402841040685556,0.20495657138391124,0.0,0.011711858542708538,96.0,2,0,1,0,13,394,393
1788468929.5320232,2.1708514048004743,4217.26953125,6.484149557595789,0.18047353719918552,0.0,0.0,97.0,0,0,3,0,13,395,394
1788468930.531639,2.350902963799071,4217.26953125,7.10130219407908,0.20682649552447555,0.0,0.0,96.0,0,0,0,0,16,396,395
1788468931.5322344,1.9088635939612917,4217.26953125,6.062954140546574,0.1968966362712933,0.0,0.003903925871157579,97.0,0,0,1,0,15,396,396
1788468932.53187,1.7606418279063298,4239.22265625,6.331481178932807,0.17058487517217116,0.0,0.0,95.0,0,0,1,0,15,397,396
1788468933.5315025,2.2308196098849558,4221.21875,5.413146414428862,0.2062315470728968,0.0,0.007815371391132768,95.0,1,0,1,0,14,398,397
1788468934.5320807,2.178740328479469,4221.21875,9.221168200281696,0.23760981469139417,0.0,0.0,97.0,1,0,2,0,13,399,398
1788468935.531862,1.5503389503522482,4221.21875,1.9887379819701831,0.03301770144277168,0.0,0.0,96.0,1,0,1,0,14,399,399
1788468936.532452,0.8694869279510649,4221.21875,1.8583613766652949,0.06236401773836554,0.0,0.0,95.0,0,0,1,0,15,399,399
1788468937.532055,2.440969566177721,4221.21875,9.288426999898393,0.22313970345162162,0.0,0.003907802199951438,98.0,0,0,3,0,13,400,399
1788468938.531676,2.3809019978702244,4221.21875,7.195730690018282,0.18861191375993838,0.0,0.0,97.0,2,0,1,0,13,401,400
1788468939.5322578,2.2386976570405737,4221.21875,8.21281069324219,0.231049594638129,0.0,0.0,97.0,0,1,1,0,14,402,401
1788468940.5311136,2.16247423979668,4221.21875,7.089687206483821,0.19815037814729902,0.0,0.0,97.0,0,0,0,0,16,403,402
1788468941.531507,2.54899724830176,4221.21875,11.979407781877494,0.2731355014854786,0.0,0.0,97.0,1,0,1,0,14,403,403
1788468942.5315125,2.3099873328902993,4221.21875,10.733363421593022,0.24459227904738948,0.0,0.08593702875336139,97.0,1,0,1,0,14,404,403
